model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,137,0.03,32.41527593242275,40.64455194943925,41.405006815903434
gradient_boosting,138,0.03,32.346727043225464,40.724776627541125,41.33439827676017
gradient_boosting,139,0.03,32.28018822853657,40.67332927744745,41.28226509401338
gradient_boosting,140,0.03,32.23981577336721,40.66589677534402,41.232438058965144
gradient_boosting,141,0.03,32.21820171035145,40.68202550179237,41.237670794353136
gradient_boosting,142,0.03,32.16603536634018,40.64519365555156,41.226032134938826
gradient_boosting,143,0.03,32.14268056402904,40.67925668060024,41.246126449901475
gradient_boosting,144,0.03,32.04972079309519,40.61119810967386,41.167369318655155
gradient_boosting,145,0.03,31.976685917194768,40.54968400900289,41.114910984982146
gradient_boosting,146,0.03,31.92405361134218,40.527482741274405,41.051900703417374
gradient_boosting,147,0.03,31.866634336232398,40.53487635843884,41.027081942906584
gradient_boosting,148,0.03,31.81904849310331,40.826216813278954,41.1489242156628
gradient_boosting,149,0.03,31.7603289746061,40.79896285519155,41.11407141191978
gradient_boosting,150,0.03,31.70397082135547,40.78623690961356,41.07524462046674
gradient_boosting,151,0.03,31.63586830793064,40.732041445808306,41.00401338200092
gradient_boosting,152,0.03,31.564312021149103,40.7030440586678,40.953669736957906
gradient_boosting,153,0.03,31.47704595516004,40.64337157045546,40.89377965335382
gradient_boosting,154,0.03,31.423950472050905,40.599386893859354,40.82534203795846
gradient_boosting,155,0.03,31.366121329727598,40.570456524959496,40.791032300461595
gradient_boosting,156,0.03,31.294520505513184,40.49998814876792,40.735954431946645
gradient_boosting,157,0.03,31.254482610763674,40.49211806058838,40.70742163799451
gradient_boosting,158,0.03,31.21300457306522,40.48911400349822,40.66875324377686
gradient_boosting,159,0.03,31.159433421990588,40.44464969448191,40.619480372371186
gradient_boosting,160,0.03,31.112139759486947,40.42004195892287,40.57248438131619
gradient_boosting,161,0.03,31.092043741514996,40.43753239339528,40.58206890108956
gradient_boosting,162,0.03,31.011283499200278,40.41145133584163,40.54846931495837
gradient_boosting,163,0.03,30.936645929772627,40.34157630136741,40.45297343451533
gradient_boosting,164,0.03,30.872910927207975,40.292531764112205,40.38223570569071
gradient_boosting,165,0.03,30.824646852772705,40.262339270078535,40.353693655801706
gradient_boosting,166,0.03,30.797929971169918,40.30103904044068,40.35256465820738
gradient_boosting,167,0.03,30.756698626572124,40.299846901873984,40.29527403459452
gradient_boosting,168,0.03,30.70201970652572,40.243505573951985,40.2885834167606
gradient_boosting,169,0.03,30.64940339609254,40.207507807690504,40.24970196803916
gradient_boosting,170,0.03,30.60640450853701,40.19021592518482,40.21159500633771
gradient_boosting,171,0.03,30.569053298265885,40.201908945372416,40.199730618633396
gradient_boosting,172,0.03,30.516228605917195,40.181987545249804,40.13874803065765
gradient_boosting,173,0.03,30.47697254007652,40.17759073918193,40.101344827770255
gradient_boosting,174,0.03,30.41795971528395,40.17044221054149,40.054200568992144
gradient_boosting,175,0.03,30.393091006047715,40.147865239830566,40.03485182224813
gradient_boosting,176,0.03,30.34814354557028,40.14563382202626,40.0461146848582
gradient_boosting,177,0.03,30.28771913616446,40.193714773543704,40.02239630847804
gradient_boosting,178,0.03,30.212618956507583,40.13871897647865,39.97043396332903
gradient_boosting,179,0.03,30.173658351226546,40.11983209432427,39.93899602705295
gradient_boosting,180,0.03,30.14714903753002,40.10468230867271,39.91457257089091
gradient_boosting,181,0.03,30.090989911997557,40.167837035283576,40.01482198247301
gradient_boosting,182,0.03,30.039953812359155,40.16871700139743,39.97698009395945
gradient_boosting,183,0.03,29.99734301824708,40.15304907541748,39.96941345899322
gradient_boosting,184,0.03,29.961284806218046,40.150444951068614,39.95636187691278
gradient_boosting,185,0.03,29.896240247408656,40.12929686733254,39.92260776319744
gradient_boosting,186,0.03,29.88845659305683,40.142344026238085,39.932632391348186
gradient_boosting,187,0.03,29.826870117559217,40.097318328355556,39.88911929383759
gradient_boosting,188,0.03,29.76293367157184,40.051675752112914,39.85396837913508
gradient_boosting,189,0.03,29.704263598562083,40.044881269758235,39.90190865133988
