structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::RZJRJXONCZWCBN-UHFFFAOYSA-N,octadecane,CCCCCCCCCCCCCCCCCC,C18H38,RZJRJXONCZWCBN-UHFFFAOYSA-N,5,solid,solid,283.85,290.46,101.325,101.325,448.6,472.4,460.84,460.7
inchikey::IPBVNPXQWQGGJP-UHFFFAOYSA-N,phenyl ethanoate,CC(=O)Oc1ccccc1,C8H8O2,IPBVNPXQWQGGJP-UHFFFAOYSA-N,5,liquid,liquid,253.15,413.15,101.325,101.325,220.42348248,269.43673368,242.01654259200004,240.02878296
inchikey::GLUUGHFHXGJENI-UHFFFAOYSA-N,piperazine,C1CNCCN1,C4H10N2,GLUUGHFHXGJENI-UHFFFAOYSA-N,5,liquid,liquid,393.2,413.2,101.325,101.325,216.3,225.0,220.66,220.5
inchikey::ZPQAKYPOZRXKFA-UHFFFAOYSA-N,undecan-6-one,CCCCCC(=O)CCCCC,C11H22O,ZPQAKYPOZRXKFA-UHFFFAOYSA-N,5,liquid,liquid,293.16,473.1,101.325,101.325,363.74324208,463.02334982,406.65677064,402.39947614
inchikey::RSJKGSCJYJTIGS-UHFFFAOYSA-N,undecane,CCCCCCCCCCC,C11H24,RSJKGSCJYJTIGS-UHFFFAOYSA-N,5,liquid,liquid,283.15,303.15,101.325,101.325,337.29,346.3,341.728,341.6
inchikey::CTQNGGLPUBDAKN-UHFFFAOYSA-N,"1,2-dimethylbenzene",Cc1ccccc1C,C8H10,CTQNGGLPUBDAKN-UHFFFAOYSA-N,4,liquid,liquid,298.15,308.15,101.325,101.325,187.282,190.62,188.6405,188.33
inchikey::GSGLHYXFTXGIAQ-UHFFFAOYSA-M,"1,3-dimethylimidazolium dimethylphosphate",COP(=O)([O-])OC.Cn1cc[n+](C)c1,C7H15N2O4P,GSGLHYXFTXGIAQ-UHFFFAOYSA-M,4,liquid,liquid,298.15,323.15,101.325,101.325,282.833664593,321.048425245,302.8297602829999,303.718475647
inchikey::WOKQGMYCUGJNIJ-UHFFFAOYSA-M,"1,3-dimethylimidazolium methylsulfate",COS(=O)(=O)[O-].Cn1cc[n+](C)c1,C6H12N2O4S,WOKQGMYCUGJNIJ-UHFFFAOYSA-M,4,liquid,liquid,298.0,313.0,101.325,101.325,298.1,312.9,305.525,305.55
inchikey::URLKBWYHVLBVBO-UHFFFAOYSA-N,"1,4-dimethylbenzene",Cc1ccc(C)cc1,C8H10,URLKBWYHVLBVBO-UHFFFAOYSA-N,4,liquid,liquid,288.15,308.15,101.3,101.325,178.86,186.15,182.32600000000002,182.147
inchikey::GSNUFIFRDBKVIE-UHFFFAOYSA-N,"2,5-dimethylfuran",Cc1ccc(C)o1,C6H8O,GSNUFIFRDBKVIE-UHFFFAOYSA-N,4,liquid,liquid,213.15,333.15,101.325,101.325,159.28263784,184.94857888,169.71243036,167.30925236000002
inchikey::PAYRUJLWNCNPSJ-UHFFFAOYSA-N,aniline,Nc1ccccc1,C6H7N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,4,liquid,liquid,293.15,308.15,101.325,101.325,189.19,194.51,191.975,192.10000000000002
inchikey::CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,O=C1CCCCCC1,C7H12O,CGZZMOTZOONQIA-UHFFFAOYSA-N,4,liquid,liquid,293.15,308.15,101.325,101.325,201.11,204.51,202.71,202.61
inchikey::JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,O=C1CCCCC1,C6H10O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,4,liquid,liquid,293.15,308.15,101.325,101.325,176.17,182.46,179.32,179.325
inchikey::NXBJFTWHMXIONT-UHFFFAOYSA-M,"1,2-diethylpyridinium ethylsulfate",CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,C11H19NO4S,NXBJFTWHMXIONT-UHFFFAOYSA-M,3,liquid,liquid,288.15,308.15,101.325,101.325,399.0,420.0,410.3333333333333,412.0
inchikey::BDLFOWSQKJPVEK-UHFFFAOYSA-N,"1,3-dimethyl-5,6-trimethyleneuracil",Cn1c2c(c(=O)n(C)c1=O)CCC2,C9H12N2O2,BDLFOWSQKJPVEK-UHFFFAOYSA-N,3,solid,solid,298.15,308.15,101.325,101.325,252.9,261.8,257.59999999999997,258.1
inchikey::BBENVNYHPQWFJZ-UHFFFAOYSA-N,1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1cccc(C#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C12H13F6N3O4S2,BBENVNYHPQWFJZ-UHFFFAOYSA-N,3,liquid,liquid,298.15,353.15,101.325,101.325,586.0,605.0,595.6666666666666,596.0
inchikey::ZCFGUWTYMYQBKZ-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium dicyanamide,CCCCCCn1cc[n+](C)c1.N#C[N-]C#N,C12H19N5,ZCFGUWTYMYQBKZ-UHFFFAOYSA-N,3,liquid,liquid,288.15,308.15,101.325,101.325,510.0,548.0,530.6666666666666,534.0
inchikey::RZRBFOPTSAURQP-UHFFFAOYSA-N,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide,CCCCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C14H17F6N3O4S2,RZRBFOPTSAURQP-UHFFFAOYSA-N,3,liquid,liquid,298.15,353.15,101.325,101.325,633.0,652.0,642.6666666666666,643.0
inchikey::QZJOMPYEGLQVQM-UHFFFAOYSA-M,1-methylpyridinium methylsulfate,COS(=O)(=O)[O-].C[n+]1ccccc1,C7H11NO4S,QZJOMPYEGLQVQM-UHFFFAOYSA-M,3,liquid,liquid,288.15,308.15,101.325,101.325,288.0,305.0,297.3333333333333,299.0
inchikey::PNYMPXLLGQCPDZ-UHFFFAOYSA-N,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),C=C[n+]1ccn(CC(Cn2cc[n+](C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N,C16H17N13,PNYMPXLLGQCPDZ-UHFFFAOYSA-N,3,liquid,liquid,298.0,323.0,101.325,101.325,400.0,452.0,420.56666666666666,409.7
inchikey::OSOUNOBYRMOXQQ-UHFFFAOYSA-N,3-chlorotoluene,Cc1cccc(Cl)c1,C7H7Cl,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,3,liquid,liquid,293.15,303.15,100.0,100.0,175.21,177.67,176.4466666666667,176.46
inchikey::CUYVLGVDOYBOMQ-UHFFFAOYSA-N,"3-cyano-1-hexylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCC[n+]1cccc(C#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C14H17F6N3O4S2,CUYVLGVDOYBOMQ-UHFFFAOYSA-N,3,liquid,liquid,298.15,353.15,101.325,101.325,658.0,681.0,669.3333333333334,669.0
inchikey::SQJRLGLDYXCRBA-UHFFFAOYSA-N,"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCCC[n+]1cccc(C#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C16H21F6N3O4S2,SQJRLGLDYXCRBA-UHFFFAOYSA-N,3,liquid,liquid,298.15,353.15,101.325,101.325,709.0,731.0,720.3333333333334,721.0
inchikey::NPDACUSDTOMAMK-UHFFFAOYSA-N,4-chlorotoluene,Cc1ccc(Cl)cc1,C7H7Cl,NPDACUSDTOMAMK-UHFFFAOYSA-N,3,liquid,liquid,293.15,303.15,100.0,100.0,175.66,180.37,177.99333333333334,177.95
inchikey::ATHHXGZTWNVVOU-UHFFFAOYSA-N,N-methylformamide,CN=CO,C2H5NO,ATHHXGZTWNVVOU-UHFFFAOYSA-N,3,liquid,liquid,298.15,308.15,101.325,101.325,123.92,126.05,124.97333333333334,124.95
inchikey::ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,N=CO,CH3NO,ZHNUHDYFZUAESO-UHFFFAOYSA-N,3,liquid,liquid,298.15,308.15,101.325,101.325,107.82,109.56,108.64666666666666,108.56
inchikey::CSCPPACGZOOCGX-WFGJKAKNSA-N,(D6)-2-propanone,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],C3H6O,CSCPPACGZOOCGX-WFGJKAKNSA-N,2,liquid,liquid,298.15,298.15,101.325,101.325,133.6,134.94,134.26999999999998,134.26999999999998
inchikey::IAZDPXIOMUYVGZ-WFGJKAKNSA-N,(methyl sulfoxide)-d6,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],C2H6OS,IAZDPXIOMUYVGZ-WFGJKAKNSA-N,2,liquid,liquid,298.15,298.15,101.325,101.325,163.87,165.76,164.815,164.815
