,SHAP_NumValenceElectrons,SHAP_HeavyAtomCount,SHAP_LabuteASA,SHAP_Kappa1,SHAP_NumRotatableBonds,SHAP_MolLogP,SHAP_TPSA,SHAP_NumHAcceptors,SHAP_FractionCSP3,SHAP_HeteroAtomFraction
160,-31.998599326771814,-25.41419918023197,-20.264557196314488,-9.251060218932261,-7.3675785144268024,-4.377880096810408,-1.969963534819867,0.22287887231432832,10.12650397035303,-10.076160933250362
620,168.77729617739035,145.60954458070265,72.24081390010271,47.21539666769883,-38.080937131462605,-5.956857699415387,-3.4846068100611207,-0.7555110145749715,-0.23804936334799867,6.3286282088932335
446,-19.52640968553956,-11.237860845137098,-10.208884453131175,-15.888196306248576,-15.83293670871071,-5.46986327014546,-5.885233986738174,-0.475028338899026,-1.8297484260820598,-7.5899253758934755
1750,-53.13568680577455,-35.76009978159886,-25.44341346332244,-21.899071187628504,-12.312784738540143,-3.3818866355720316,-2.8580765795551666,-3.2357964257988105,-0.05850606923868379,3.2522939054814364
1184,84.95548037216997,67.50666647394658,29.971823684889987,32.91541191466749,28.335154120468847,23.419883705383022,-2.5420817983852912,-3.1615953467397695,13.524631059220999,2.594159558766792
2043,-38.74350761052307,-31.378553622735794,-25.781516550163335,-13.610468575752018,-3.4234257213863386,-6.605739746769968,-10.016841556183069,-0.9111681900093687,7.212112439912476,5.132091655749421
498,-67.3020647131238,-40.12200837748248,-8.558174260991924,36.51505947729815,-19.544347869954017,-8.116689778142373,-3.3239120662587585,-1.7884988498003977,-18.80196104163917,-20.593126557769555
1015,-30.338676482903736,-25.761907470154526,-14.823416640902828,-4.913128020790789,3.9573369074121065,-0.7596781210473422,5.6448526622089785,-0.42678312506203103,11.366410280338295,4.800610881875423
1094,94.54768147703939,38.14383538202855,11.349727758599204,52.363662408573525,-3.6990507629722464,-0.8366190823713876,1.9408515265422759,1.9761423502825313,8.229742151513308,2.6147191281085416
1449,-52.686606028835044,-37.30855777722316,-33.07557627517022,-19.70721594801463,-7.991443092571153,-4.160985382392851,0.08568868680458391,-0.47790020389467125,10.203670233526092,1.9297076222957164
770,7.223722703792822,73.88418103015655,78.38295400401275,49.570336369184766,-26.071769138640004,-8.761015285026014,5.179390740935771,0.10400132499094536,-31.207025716234604,-16.860513004036502
1119,157.10928277242445,101.54169959598225,67.57955280503239,60.56283134267945,46.03713850462649,3.3362855356578534,1.3120817588630378,1.3713301354901797,11.485079494926792,-0.41179278459580493
1202,-48.56610179387765,-36.809346979502244,-20.476933124928454,-16.38549960269178,-13.803121973886265,-2.439920784287512,-2.162571909997569,-2.9336337884413948,10.424519567865577,2.8377408924285983
307,-64.0225990451168,-40.59877160233761,-33.50607764910149,-32.80324895593757,-14.988381592723096,-5.130952550323588,-0.032598845216822804,-0.7682435790848321,-15.496427127761844,1.054337648201604
2023,-63.004095770504726,-41.77308820964238,-33.90567548746436,-27.792718626548844,-10.226247901932913,-4.462906951716745,1.233257342816577,-0.6603871247867001,6.043175878642861,4.4714163076874875
1277,38.23487454797083,19.918322150439185,7.846465063217548,52.45317321914992,13.378892214648696,-2.7751506236617307,0.6171578256500578,1.005650467224904,11.514165818302267,7.672141244221966
