model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,137,0.03,33.35398973381016,40.22801568015698,40.8110872970107
gradient_boosting,138,0.03,33.30889046143152,40.22032987107225,40.77266171584603
gradient_boosting,139,0.03,33.28867524509867,40.25219910892926,40.76212956305174
gradient_boosting,140,0.03,33.22734537414195,40.22224611847387,40.72638342385314
gradient_boosting,141,0.03,33.196570968401346,40.23411715284296,40.74281185588955
gradient_boosting,142,0.03,33.144610028532696,40.2141172695421,40.728552143386494
gradient_boosting,143,0.03,33.08875491403569,40.18541071895047,40.67954977976477
gradient_boosting,144,0.03,33.01790993381058,40.15951461613403,40.646191494717016
gradient_boosting,145,0.03,32.966615104132835,40.145388570361,40.61765130658962
gradient_boosting,146,0.03,32.88684057397302,40.07252417743349,40.53983576862766
gradient_boosting,147,0.03,32.798533708615174,39.996251801603876,40.471136146138974
gradient_boosting,148,0.03,32.72084458662847,39.95962355144709,40.449074666013594
gradient_boosting,149,0.03,32.6532400606458,39.93880185344425,40.41699326414679
gradient_boosting,150,0.03,32.556367136549895,39.969814306822016,40.33214603299724
gradient_boosting,151,0.03,32.50478191765223,39.971355360641766,40.31135762512806
gradient_boosting,152,0.03,32.43865901816533,39.96981170026925,40.30871275456742
gradient_boosting,153,0.03,32.36291214574659,39.96411570207628,40.32566921728251
gradient_boosting,154,0.03,32.29588871205008,39.946797651633126,40.2893127146315
gradient_boosting,155,0.03,32.21904993114994,39.93252522008022,40.261773775445036
gradient_boosting,156,0.03,32.14414890542819,39.86569604607351,40.197279636391016
gradient_boosting,157,0.03,32.10094151240475,39.82456127770197,40.18091628493329
gradient_boosting,158,0.03,32.029277847366814,39.81017393035992,40.18526896841016
gradient_boosting,159,0.03,31.97717459552641,39.75998499897741,40.15326463099372
gradient_boosting,160,0.03,31.92183653755378,39.73856756067777,40.10992833234724
gradient_boosting,161,0.03,31.850468035447513,39.710317706992335,40.061053570403786
gradient_boosting,162,0.03,31.762795174947097,39.66143831627411,39.97150875526336
gradient_boosting,163,0.03,31.722572002627725,39.647171480544515,39.961041593027744
gradient_boosting,164,0.03,31.659274007023722,39.62706878725722,39.94283964624453
gradient_boosting,165,0.03,31.618627691254172,39.617067399445304,39.92904548162275
gradient_boosting,166,0.03,31.555371000058088,39.60162423665997,39.92427194128968
gradient_boosting,167,0.03,31.51210402182517,39.58636550848847,39.88535750001166
gradient_boosting,168,0.03,31.45580369619445,39.553260123356694,39.86940901479396
gradient_boosting,169,0.03,31.41162725460074,39.535682857737406,39.858164961308766
gradient_boosting,170,0.03,31.375973910892814,39.54993933909375,39.85258876369844
gradient_boosting,171,0.03,31.31647548111537,39.537295778351584,39.820870193582834
gradient_boosting,172,0.03,31.279627129244137,39.52150272373641,39.78178657270962
gradient_boosting,173,0.03,31.221749513597928,39.51444492448457,39.79566106724054
gradient_boosting,174,0.03,31.167326158975563,39.47826213481628,39.773978214933386
gradient_boosting,175,0.03,31.124345539598245,39.440687038299785,39.741908038116186
gradient_boosting,176,0.03,31.09369270299653,39.4454318665739,39.732999788046655
gradient_boosting,177,0.03,31.04700796957352,39.37047066775832,39.6650413226345
gradient_boosting,178,0.03,30.972941400227725,39.33902611514253,39.633088655464206
gradient_boosting,179,0.03,30.93895825877628,39.35059252136294,39.622002564138036
gradient_boosting,180,0.03,30.893764161197975,39.34986241430445,39.61267860046468
gradient_boosting,181,0.03,30.858600194081365,39.32628384188205,39.59345824848488
gradient_boosting,182,0.03,30.83124628933816,39.33014787955175,39.58019815564331
gradient_boosting,183,0.03,30.816128330935207,39.35258392531805,39.58565364050729
gradient_boosting,184,0.03,30.7612492990454,39.309773083089596,39.54286429881096
gradient_boosting,185,0.03,30.685248917876123,39.26156491712799,39.5035487984558
gradient_boosting,186,0.03,30.64996481394393,39.248836408446515,39.52762066206245
gradient_boosting,187,0.03,30.586194195225925,39.210647060141284,39.49736029244807
gradient_boosting,188,0.03,30.533646149611318,39.198295923492964,39.482543824237744
gradient_boosting,189,0.03,30.475222992625458,39.157274297212915,39.45332405912853
gradient_boosting,190,0.03,30.44987811995476,39.15608965399446,39.44093661847031
gradient_boosting,191,0.03,30.39334366024851,39.12314499254738,39.39983449414623
gradient_boosting,192,0.03,30.353790660159273,39.15041496790598,39.38062549618708
gradient_boosting,193,0.03,30.336631326927254,39.1741856949389,39.39713171094227
gradient_boosting,194,0.03,30.271637787095873,39.11041532485637,39.34533028757861
gradient_boosting,195,0.03,30.23846786038334,39.07059999780863,39.32173171005903
gradient_boosting,196,0.03,30.17360888438162,39.01099536475303,39.27487187133925
gradient_boosting,197,0.03,30.122191173956434,39.003870566539554,39.243247026260434
gradient_boosting,198,0.03,30.086699768779976,39.03626187536329,39.29478384360323
gradient_boosting,199,0.03,30.039053940346374,39.0002583881987,39.261377894268115
gradient_boosting,200,0.03,29.97511486886746,38.96956748778399,39.209006192433634
gradient_boosting,201,0.03,29.928431397023115,38.98562714655892,39.27760005019939
gradient_boosting,202,0.03,29.89083719047345,38.97693964779386,39.27127827057034
gradient_boosting,203,0.03,29.872448772760304,38.9636010036498,39.26071338877912
gradient_boosting,204,0.03,29.842687072714572,38.9659830980004,39.24966093616728
gradient_boosting,205,0.03,29.8303543948117,38.98123078131029,39.23016813939548
gradient_boosting,206,0.03,29.800792593668618,38.9774687448648,39.220264508772075
gradient_boosting,207,0.03,29.76097574668083,38.95355391091188,39.19089683187844
gradient_boosting,208,0.03,29.731402011588422,38.96238741836475,39.201409530468396
gradient_boosting,209,0.03,29.689672713127518,38.98337932130092,39.19044827225977
gradient_boosting,210,0.03,29.670644742645116,38.9665115852985,39.19265693143334
