name,smiles,group,formula,molecular_weight,rotatable_bonds,heat_capacity,canonical_smiles
acetic acid,CC(=O)O,NIST_XML_SetB,C2H4O2,60.052,0,135.5,CC(=O)O
1-benzyl-3-methylimidazolium tetrafluoroborate,C[n+]1ccn(Cc2ccccc2)c1.F[B-](F)(F)F,NIST_XML_SetB,C11H13BF4N2,260.043,2,417.35,C[n+]1ccn(Cc2ccccc2)c1.F[B-](F)(F)F
4-nitrobenzenesulfonamide,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,NIST_XML_SetB,C6H6N2O4S,202.191,2,219.98154496,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1
1-methylpyridinium methylsulfate,COS(=O)(=O)[O-].C[n+]1ccccc1,NIST_XML_SetB,C7H11NO4S,205.234999999999,1,299.0,COS(=O)(=O)[O-].C[n+]1ccccc1
1-hexyl-3-methylimidazolium trifluoromethanesulfonate,CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,NIST_XML_SetB,C11H19F3N2O3S,316.345,5,493.0,CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
1-ethyl-2-hexylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C15H22F6N2O4S2,472.473,8,685.5,CCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C12H19F6N3O4S2,447.423,7,629.2,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
tributylethylphosphonium diethylphosphate,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,NIST_XML_SetB,C18H42O4P2,384.478,14,706.0,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC
bromoethane,CCBr,NIST_XML_SetB,C2H5Br,108.966,0,107.42,CCBr
anisole,COc1ccccc1,NIST_XML_SetB,C7H8O,108.139999999999,1,191.539,COc1ccccc1
"N,N-dibutyl-N-methyl-1-butanaminium 2-aminoethanesulfonate",CCCC[N+](C)(CCCC)CCCC.NCCS(=O)(=O)[O-],NIST_XML_SetB,C15H36N2O3S,324.531,11,826.9,CCCC[N+](C)(CCCC)CCCC.NCCS(=O)(=O)[O-]
1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,NIST_XML_SetB,C16H19F18N2P,612.28,8,729.846,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
1-pentadecanol,CCCCCCCCCCCCCCCO,NIST_XML_SetB,C15H32O,228.419999999999,13,571.9,CCCCCCCCCCCCCCCO
"1,2,3-trichlorobenzene",Clc1cccc(Cl)c1Cl,NIST_XML_SetB,C6H3Cl3,181.448999999999,0,201.44,Clc1cccc(Cl)c1Cl
1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C15H22F6N2O4S2,472.473,9,620.8238444688,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4-tert-butylphenyl phenyl ether,CC(C)(C)c1ccc(Oc2ccccc2)cc1,NIST_XML_SetB,C16H18O,226.318999999999,2,384.37804056,CC(C)(C)c1ccc(Oc2ccccc2)cc1
"1,2-dichlorobenzene",Clc1ccccc1Cl,NIST_XML_SetB,C6H4Cl2,147.004,0,170.47,Clc1ccccc1Cl
