formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C4H4N2,pyrazine,72.839,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1cnccn1,9261.0,pyrazine,ok,True
H4N2,hydrazine,46.414,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NN,9321.0,hydrazine,ok,True
C4H11NO,"N,N-diethylhydroxylamine",127.66,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCN(O)CC,19463.0,"N,N-diethylhydroxylamine",ok,True
C3H4,"1,2-propadiene",58.186,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C=C,10037.0,"propa-1,2-diene",ok,True
C2H2O,ethenone,51.451,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C=O,10038.0,ethenone,ok,True
C5H12,"2,2-dimethylpropane",118.681,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)(C)C,10041.0,"2,2-dimethylpropane",ok,True
CH2O,methanal,35.305,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=O,712.0,formaldehyde,ok,True
C4H6,2-butyne,81.613,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC#CC,10419.0,but-2-yne,ok,True
C3H6O,oxetane,63.329,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1COC1,10423.0,oxetane,ok,True
C3H8O2,"propan-1,3-diol",99.668,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,OCCCO,10442.0,"propane-1,3-diol",ok,True
C4H8O2,"1,3-dioxane",91.527,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1COCOC1,10450.0,"1,3-dioxane",ok,True
