structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::OBUAHJWEGGSXTQ-UHFFFAOYSA-N,"1-hexyl-3-methyl-4-(dimethylamino)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCn1ccc(=[N+](C)C)c(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C16H25F6N3O4S2,OBUAHJWEGGSXTQ-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,725.0,725.0,725.0,725.0
inchikey::ZCFGUWTYMYQBKZ-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium dicyanamide,CCCCCCn1cc[n+](C)c1.N#C[N-]C#N,C12H19N5,ZCFGUWTYMYQBKZ-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,534.0,534.0,534.0,534.0
inchikey::YPWSSSRXUOQNMQ-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,C10H19F6N2P,YPWSSSRXUOQNMQ-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,424.025,424.025,424.025,424.025
inchikey::MFXLOVLEQJRXFP-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,C10H19BF4N2,MFXLOVLEQJRXFP-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,427.8,427.8,427.8,427.8
inchikey::RABFGPMWVQNDHI-UHFFFAOYSA-M,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,C11H19F3N2O3S,RABFGPMWVQNDHI-UHFFFAOYSA-M,1,liquid,liquid,293.15,293.15,101.325,101.325,493.0,493.0,493.0,493.0
inchikey::RDTBYJUWNPIEFT-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C16H19F18N2P,RDTBYJUWNPIEFT-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,729.846,729.846,729.846,729.846
inchikey::BTILDMKCQRWRPS-UHFFFAOYSA-N,"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C14H20F6N2O4S2,BTILDMKCQRWRPS-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,624.0,624.0,624.0,624.0
inchikey::VUZPMQCRLBXLMD-UHFFFAOYSA-M,1-hexyl-3-methylpyridinium bromide,CCCCCC[n+]1cccc(C)c1.[Br-],C12H20BrN,VUZPMQCRLBXLMD-UHFFFAOYSA-M,1,liquid,liquid,298.0,298.0,101.325,101.325,343.0,343.0,343.0,343.0
inchikey::QHMNLBLFAPNMJS-UHFFFAOYSA-N,"1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCn1ccc(=[N+]2CCC(C)CC2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C19H29F6N3O4S2,QHMNLBLFAPNMJS-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,628.0,628.0,628.0,628.0
inchikey::RZRBFOPTSAURQP-UHFFFAOYSA-N,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide,CCCCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C14H17F6N3O4S2,RZRBFOPTSAURQP-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,633.0,633.0,633.0,633.0
inchikey::KRGMPUIAPYZEKL-UHFFFAOYSA-N,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C13H18F6N2O4S2,KRGMPUIAPYZEKL-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,612.0,612.0,612.0,612.0
inchikey::LMHCYRULPLGEEZ-UHFFFAOYSA-N,1-iodoheptane,CCCCCCCI,C7H15I,LMHCYRULPLGEEZ-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,249.83880935,249.83880935,249.83880935,249.83880935
inchikey::ANOOTOPTCJRUPK-UHFFFAOYSA-N,1-iodohexane,CCCCCCI,C6H13I,ANOOTOPTCJRUPK-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,217.79783103,217.79783103,217.79783103,217.79783103
inchikey::PQYJKAOJURATKE-UHFFFAOYSA-N,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C11H20F6N2O4S2,PQYJKAOJURATKE-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,582.0809788976,582.0809788976,582.0809788976,582.0809788976
inchikey::UCSCMJVSBWEERZ-UHFFFAOYSA-N,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,CC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C10H15F6N3O4S2,UCSCMJVSBWEERZ-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,565.3058252416,565.3058252416,565.3058252416,565.3058252416
inchikey::CHMFMSRLHXBXNJ-UHFFFAOYSA-N,1-isobutyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)imide,Cc1ccc[n+](CC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C12H16F6N2O4S2,CHMFMSRLHXBXNJ-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,578.873123224,578.873123224,578.873123224,578.873123224
inchikey::IZSJXAHBNZXKSK-UHFFFAOYSA-N,1-methyl-1-octylpyrrolidinium bis(trifluoromethylsulfonyl)amide,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C15H28F6N2O4S2,IZSJXAHBNZXKSK-UHFFFAOYSA-N,1,liquid,liquid,295.04,295.04,101.325,101.325,636.426704536,636.426704536,636.426704536,636.426704536
inchikey::DKNRELLLVOYIIB-UHFFFAOYSA-N,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C10H18F6N2O4S2,DKNRELLLVOYIIB-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,554.0,554.0,554.0,554.0
inchikey::HLZKCDBHBYYCMM-UHFFFAOYSA-M,1-methyl-1-propylpyrrolidinium triflate,CCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,C9H18F3NO3S,HLZKCDBHBYYCMM-UHFFFAOYSA-M,1,liquid,liquid,298.15,298.15,101.325,101.325,439.0,439.0,439.0,439.0
inchikey::XBCXJKGHPABGSD-UHFFFAOYSA-N,"1-methyl-2,4(1H,3H)-pyrimidinedione",Cn1ccc(O)nc1=O,C5H6N2O2,XBCXJKGHPABGSD-UHFFFAOYSA-N,1,solid,solid,298.15,298.15,101.325,101.325,156.9,156.9,156.9,156.9
inchikey::IVQODHSYCBTSSC-UHFFFAOYSA-O,"1-methyl-3-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C12H12F15N3O4S2,IVQODHSYCBTSSC-UHFFFAOYSA-O,1,liquid,liquid,298.0,298.0,101.325,101.325,725.0,725.0,725.0,725.0
inchikey::USLPYMAUOGWNSK-UHFFFAOYSA-N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,C14H21N9,USLPYMAUOGWNSK-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,519.439095,519.439095,519.439095,519.439095
inchikey::JAXADCXRJZMRSP-VWMHFEHESA-M,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,CCCCCCCCn1cc[n+](C)c1.O=C([O-])[C@@H]1CCCN1,C17H31N3O2,JAXADCXRJZMRSP-VWMHFEHESA-M,1,liquid,liquid,293.15,293.15,101.325,101.325,561.68,561.68,561.68,561.68
inchikey::FYFKWSMYUWPHGS-WNQIDUERSA-M,1-methyl-3-octyl-1H-imidazol-3-ium L-serinate,CCCCCCCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],C15H29N3O3,FYFKWSMYUWPHGS-WNQIDUERSA-M,1,liquid,liquid,293.15,293.15,101.325,101.325,599.21,599.21,599.21,599.21
inchikey::TZQLKZLDUVTPGH-WNQIDUERSA-M,1-methyl-3-octylimidazolium L-alaninate,CCCCCCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],C15H29N3O2,TZQLKZLDUVTPGH-WNQIDUERSA-M,1,liquid,liquid,293.15,293.15,101.325,101.325,592.06,592.06,592.06,592.06
inchikey::OJUWEGYMXARHRY-WNQIDUERSA-M,1-methyl-3-octylimidazolium L-asparaginate,CCCCCCCCn1cc[n+](C)c1.N=C([O-])C[C@H](N)C(=O)O,C16H30N4O3,OJUWEGYMXARHRY-WNQIDUERSA-M,1,liquid,liquid,293.15,293.15,101.325,101.325,654.0,654.0,654.0,654.0
inchikey::URVSXZLUUCVGQM-UHFFFAOYSA-M,1-methyl-3-octylimidazolium bromide,CCCCCCCCn1cc[n+](C)c1.[Br-],C12H23BrN2,URVSXZLUUCVGQM-UHFFFAOYSA-M,1,liquid,liquid,298.0,298.0,101.325,101.325,392.0,392.0,392.0,392.0
inchikey::XHLFJGMVGOZLER-UHFFFAOYSA-M,1-methyl-3-octylimidazolium glycinate,CCCCCCCCn1cc[n+](C)c1.NCC(=O)[O-],C14H27N3O2,XHLFJGMVGOZLER-UHFFFAOYSA-M,1,liquid,liquid,293.15,293.15,101.325,101.325,504.06,504.06,504.06,504.06
inchikey::GXZCAMSPWNHTAE-UHFFFAOYSA-N,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,C12H23BF4N2,GXZCAMSPWNHTAE-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,497.8,497.8,497.8,497.8
inchikey::PIZIXRLDZQRSNU-UHFFFAOYSA-N,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C11H17F6N3O4S2,PIZIXRLDZQRSNU-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,595.6,595.6,595.6,595.6
inchikey::CDWUIWLQQDTHRA-UHFFFAOYSA-N,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C9H13F6N3O4S2,CDWUIWLQQDTHRA-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,534.9,534.9,534.9,534.9
inchikey::RHYBFKMFHLPQPH-UHFFFAOYSA-N,1-methylhydantoin,CN1CC(O)=NC1=O,C4H6N2O2,RHYBFKMFHLPQPH-UHFFFAOYSA-N,1,solid,solid,298.15,298.15,101.325,101.325,107.01,107.01,107.01,107.01
inchikey::QZJOMPYEGLQVQM-UHFFFAOYSA-M,1-methylpyridinium methylsulfate,COS(=O)(=O)[O-].C[n+]1ccccc1,C7H11NO4S,QZJOMPYEGLQVQM-UHFFFAOYSA-M,1,liquid,liquid,298.15,298.15,101.325,101.325,299.0,299.0,299.0,299.0
inchikey::GLDOVTGHNKAZLK-UHFFFAOYSA-N,1-octadecanol,CCCCCCCCCCCCCCCCCCO,C18H38O,GLDOVTGHNKAZLK-UHFFFAOYSA-N,1,solid,solid,298.15,298.15,101.325,101.325,517.4,517.4,517.4,517.4
inchikey::IOQPZZOEVPZRBK-UHFFFAOYSA-N,1-octanamine,CCCCCCCCN,C8H19N,IOQPZZOEVPZRBK-UHFFFAOYSA-N,1,liquid,liquid,298.16,298.16,101.325,101.325,305.42,305.42,305.42,305.42
inchikey::LECQXINNQGHJBM-UHFFFAOYSA-N,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C14H23F6N3O4S2,LECQXINNQGHJBM-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,690.2,690.2,690.2,690.2
inchikey::GRCIJNHHTXBJAK-UHFFFAOYSA-N,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,C12H23F6N2P,GRCIJNHHTXBJAK-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,577.4698902994,577.4698902994,577.4698902994,577.4698902994
inchikey::BCVMAYRUJBXMAP-UHFFFAOYSA-M,1-octyl-3-methylimidazolium trifluoromethanesulfonate,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,C13H23F3N2O3S,BCVMAYRUJBXMAP-UHFFFAOYSA-M,1,liquid,liquid,313.17,313.17,101.325,101.325,588.0,588.0,588.0,588.0
inchikey::FWFZZMOMMSCJJN-UHFFFAOYSA-N,1-octyl-3-methylpydridinium bis(trifluoromethylsulfonyl)imide,CCCCCCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C16H24F6N2O4S2,FWFZZMOMMSCJJN-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,669.0,669.0,669.0,669.0
inchikey::KLMZKZJCMDOKFE-UHFFFAOYSA-N,1-octylimidazole,CCCCCCCCn1ccnc1,C11H20N2,KLMZKZJCMDOKFE-UHFFFAOYSA-N,1,liquid,liquid,300.6,300.6,101.325,101.325,382.2147576,382.2147576,382.2147576,382.2147576
inchikey::REYBKXICDFBMEW-UHFFFAOYSA-N,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C15H22F6N2O4S2,REYBKXICDFBMEW-UHFFFAOYSA-N,1,liquid,liquid,295.03,295.03,101.325,101.325,620.8238444688,620.8238444688,620.8238444688,620.8238444688
inchikey::DPBLXKKOBLCELK-UHFFFAOYSA-N,1-pentanamine,CCCCCN,C5H13N,DPBLXKKOBLCELK-UHFFFAOYSA-N,1,liquid,liquid,313.15,313.15,100.0,100.0,221.7,221.7,221.7,221.7
