feature_1,feature_2,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,best_single_mae_among_pair_features,mae_improvement_over_best_single,pearson_f1_cp,pearson_f2_cp,spearman_f1_cp,spearman_f2_cp,pair_pearson_corr,pair_spearman_corr,pair_redundancy_flag,ig_pair,ig_pair_gain_over_best_single,ig_feature_1,ig_feature_2,ig_n_rows,skipped,skip_reason
TPSA,logP,elasticnet,198,44.855841451927084,6.190057724944392,60.97087891931288,0.8034680302682227,70.38379033922403,25.52794888729695,0.21875285968898114,0.7772973746635984,0.22252892347644967,0.6826223255844466,-0.30886507972072585,-0.3028863625448074,False,0.6434677103785111,0.23512244791976977,0.03937921506054454,0.40834526245874136,198,False,
molecular_weight,H_bond_acceptors,gbr,198,45.315879595164645,6.891169979380806,68.9186949728673,0.7555574052400406,50.547121290704766,5.23124169554012,0.8344647797898637,0.28356957048634435,0.8387825507550014,0.28897069740063147,0.26385159688510856,0.315168198728155,False,0.8236945051840103,0.12273208533005076,0.7009624198539596,0.05207864109597993,198,False,
rotatable_bonds,H_bond_donors,gbr,198,45.37488306249948,5.624884622691932,62.73414705084608,0.8021836692060167,43.27999617938966,-2.0948868831098153,0.9186743672241442,0.0006785711616585098,0.857004422556517,-0.0025430764720517016,-0.010114429452593237,0.008390419523654304,False,0.862905788695308,0.07079050874312098,0.792115279952187,0.02386572061466863,198,False,
molecular_weight,TPSA,rf,198,45.69165093000021,7.450557252153895,70.81500614516975,0.7476540187942831,50.547121290704766,4.855470360704558,0.8344647797898637,0.21875285968898114,0.8387825507550014,0.22252892347644967,0.1693248993820929,0.21691546677177267,False,0.8246475912273579,0.1236851713733983,0.7009624198539596,0.03937921506054454,198,False,
molecular_weight,H_bond_acceptors,rf,198,45.73115166757556,7.4115453308776305,70.83323976202007,0.744928432533363,50.547121290704766,4.815969623129206,0.8344647797898637,0.28356957048634435,0.8387825507550014,0.28897069740063147,0.26385159688510856,0.315168198728155,False,0.8236945051840103,0.12273208533005076,0.7009624198539596,0.05207864109597993,198,False,
molecular_weight,TPSA,gbr,198,46.11596930281215,7.354907287391625,69.94534738083716,0.7506254100009453,50.547121290704766,4.431151987892619,0.8344647797898637,0.21875285968898114,0.8387825507550014,0.22252892347644967,0.1693248993820929,0.21691546677177267,False,0.8246475912273579,0.1236851713733983,0.7009624198539596,0.03937921506054454,198,False,
rotatable_bonds,TPSA,gbr,198,46.14186369586848,5.967872794545186,65.05579300958118,0.7881580801442014,43.27999617938966,-2.861867516478817,0.9186743672241442,0.21875285968898114,0.857004422556517,0.22252892347644967,0.2302085372936698,0.27635165235044146,False,0.8436054080167044,0.05149012806451736,0.792115279952187,0.03937921506054454,198,False,
rotatable_bonds,H_bond_acceptors,gbr,198,46.4956377180522,5.9700934561909005,66.16778105659472,0.7788322041836738,43.27999617938966,-3.2156415386625383,0.9186743672241442,0.28356957048634435,0.857004422556517,0.28897069740063147,0.28827993922051864,0.31008315864547964,False,0.8632362740901574,0.07112099413797035,0.792115279952187,0.05207864109597993,198,False,
H_bond_acceptors,logP,linear,198,46.506200731093685,5.691674170898246,63.97257952664885,0.7863448381746241,70.38379033922403,23.87758960813035,0.28356957048634435,0.7772973746635984,0.28897069740063147,0.6826223255844466,-0.22157116771140078,-0.2602605372070979,False,0.6658310764390871,0.25748581398034576,0.05207864109597993,0.40834526245874136,198,False,
molecular_weight,melting_point,rf,198,46.51242687061372,8.625599581520545,73.47548822557076,0.7249757457221361,50.547121290704766,4.034694420091043,0.8344647797898637,-0.04911838477019179,0.8387825507550014,0.17312100720536885,0.14082789771343276,0.3676934227397472,False,0.7946681996761542,0.09370577982219463,0.7009624198539596,0.06156896210398832,198,False,
H_bond_acceptors,logP,ridge,198,46.58518656195534,5.683291511186649,63.98480548938127,0.7865747443733543,70.38379033922403,23.798603777268696,0.28356957048634435,0.7772973746635984,0.28897069740063147,0.6826223255844466,-0.22157116771140078,-0.2602605372070979,False,0.6658310764390871,0.25748581398034576,0.05207864109597993,0.40834526245874136,198,False,
H_bond_acceptors,logP,elasticnet,198,46.59429847048477,5.682317013963781,63.98726153306318,0.786593599867217,70.38379033922403,23.789491868739262,0.28356957048634435,0.7772973746635984,0.28897069740063147,0.6826223255844466,-0.22157116771140078,-0.2602605372070979,False,0.6658310764390871,0.25748581398034576,0.05207864109597993,0.40834526245874136,198,False,
molecular_weight,melting_point,gbr,198,46.728549218967274,8.685110177771884,76.89538374553673,0.6934942120848013,50.547121290704766,3.818572071737492,0.8344647797898637,-0.04911838477019179,0.8387825507550014,0.17312100720536885,0.14082789771343276,0.3676934227397472,False,0.7946681996761542,0.09370577982219463,0.7009624198539596,0.06156896210398832,198,False,
rotatable_bonds,H_bond_donors,rf,198,46.866707329857284,6.271635815319055,64.93444454989464,0.7905328237356835,43.27999617938966,-3.5867111504676217,0.9186743672241442,0.0006785711616585098,0.857004422556517,-0.0025430764720517016,-0.010114429452593237,0.008390419523654304,False,0.862905788695308,0.07079050874312098,0.792115279952187,0.02386572061466863,198,False,
molecular_weight,logP,linear,198,47.46758429972875,7.5183687585554555,75.18218717512858,0.6977686733938506,50.547121290704766,3.079536990976017,0.8344647797898637,0.7772973746635984,0.8387825507550014,0.6826223255844466,0.7150991420408215,0.637415332767514,False,0.847324979086622,0.1463625592326624,0.7009624198539596,0.40834526245874136,198,False,
molecular_weight,logP,ridge,198,47.553699714802896,7.486366430004695,75.15655367567854,0.6984823412480486,50.547121290704766,2.99342157590187,0.8344647797898637,0.7772973746635984,0.8387825507550014,0.6826223255844466,0.7150991420408215,0.637415332767514,False,0.847324979086622,0.1463625592326624,0.7009624198539596,0.40834526245874136,198,False,
