feature_1,feature_2,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,best_single_mae_among_pair_features,mae_improvement_over_best_single,pearson_f1_cp,pearson_f2_cp,spearman_f1_cp,spearman_f2_cp,pair_pearson_corr,pair_spearman_corr,pair_redundancy_flag,ig_pair,ig_pair_gain_over_best_single,ig_feature_1,ig_feature_2,ig_n_rows,skipped,skip_reason
melting_point,boiling_point,gbr,198,82.46111513320324,10.551257205798095,120.82379837756959,0.30071953152349407,87.74637187965344,5.285256746450202,-0.04911838477019179,0.1373730264160619,0.17312100720536885,0.5358102744246874,0.8875035619272178,0.48663717142422885,True,0.3645861736541147,0.12585835776176224,0.06156896210398832,0.23872781589235248,198,False,
H_bond_donors,boiling_point,gbr,198,85.92742500597889,9.849261672441589,122.70792240272691,0.2686589029333772,87.74637187965344,1.8189468736745482,0.0006785711616585098,0.1373730264160619,-0.0025430764720517016,0.5358102744246874,-0.003736704434696763,0.07453073276508336,False,0.41967458491875,0.1809467690263975,0.02386572061466863,0.23872781589235248,198,False,
TPSA,boiling_point,gbr,198,86.72066102368626,10.74998397932378,120.94079986102592,0.2812980347162483,87.74637187965344,1.0257108559671764,0.21875285968898114,0.1373730264160619,0.22252892347644967,0.5358102744246874,0.13702130016205383,0.3187118327455737,False,0.32413022880192344,0.08540241290957096,0.03937921506054454,0.23872781589235248,198,False,
H_bond_acceptors,boiling_point,gbr,198,87.50611156069114,9.497709819820736,121.19034739200451,0.27965470728346054,87.74637187965344,0.24026031896229938,0.28356957048634435,0.1373730264160619,0.28897069740063147,0.5358102744246874,0.09317348960870242,0.23739388230609587,False,0.36698907680154114,0.12826126090918866,0.05207864109597993,0.23872781589235248,198,False,
H_bond_acceptors,melting_point,gbr,198,103.08724747455616,11.384790511458625,142.68325258843075,0.02448378841295007,106.02478353551774,2.937536060961577,0.28356957048634435,-0.04911838477019179,0.28897069740063147,0.17312100720536885,0.10023339065709899,0.16329462825912683,False,0.21057952150419568,0.14901055940020735,0.05207864109597993,0.06156896210398832,198,False,
TPSA,melting_point,gbr,198,104.77355458001037,13.948193910764491,144.43779695889248,-0.008837366840679692,106.15176160525007,1.3782070252397034,0.21875285968898114,-0.04911838477019179,0.22252892347644967,0.17312100720536885,0.15937536091757712,0.27736780943416534,False,0.1906916875733391,0.12912272546935077,0.03937921506054454,0.06156896210398832,198,False,
H_bond_donors,H_bond_acceptors,gbr,198,106.627904031002,13.180464637227537,144.34850333313875,0.011504566055226328,106.02478353551774,-0.6031204954842622,0.0006785711616585098,0.28356957048634435,-0.0025430764720517016,0.28897069740063147,0.07520944636652359,-0.025416224712342388,False,0.17944353968375104,0.1273648985877711,0.02386572061466863,0.05207864109597993,198,False,
H_bond_acceptors,TPSA,svr,198,106.76223572061033,12.825218032397835,146.09533737131775,-0.007218070646283092,106.02478353551774,-0.737452185092593,0.28356957048634435,0.21875285968898114,0.28897069740063147,0.22252892347644967,0.804518466758738,0.8279930265230048,False,0.1463338410652526,0.09425519996927267,0.05207864109597993,0.03937921506054454,198,False,
H_bond_donors,TPSA,svr,198,109.1265516236996,13.320383653386815,147.75049844642217,-0.031776443573471,108.52516913985541,-0.6013824838441906,0.0006785711616585098,0.21875285968898114,-0.0025430764720517016,0.22252892347644967,0.3684990319847204,0.2013074800135996,False,0.17260103474991118,0.13322181968936664,0.02386572061466863,0.03937921506054454,198,False,
H_bond_donors,melting_point,svr,198,109.38254899515721,13.724398351532272,148.6330063717361,-0.0430551547834786,106.15176160525007,-3.2307873899071353,0.0006785711616585098,-0.04911838477019179,-0.0025430764720517016,0.17312100720536885,0.019653067286073838,0.1622999517397193,False,0.13174379072349374,0.07017482861950541,0.02386572061466863,0.06156896210398832,198,False,
