name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,canonical_smiles
palmitoylethanolamide,CCCCCCCCCCCCCCCC(=O)NCCO,Thermo_Experimental,C18H37NO2,299.499,16,2,2,49.33,4.58,98.5,534.51,592.15,CCCCCCCCCCCCCCCC(=O)NCCO
delta-undecalactone,CCCCCCC1CCCC(=O)O1,Thermo_Experimental,C11H20O2,184.279,5,0,2,26.3,3.05,-2.67,153.5,347.88,CCCCCCC1CCCC(=O)O1
piperazine,C1CNCCN1,Thermo_Experimental,C4H10N2,86.138,0,2,2,24.06,-0.82,106.0,148.63,168.82,C1CNCCN1
methyl 2-octynoate,CCCCCC#CC(=O)OC,Thermo_Experimental,C9H14O2,154.209,4,0,2,26.3,1.74,66.47,217.0,273.2,CCCCCC#CC(=O)OC
sorbic acid,C/C=C/C=C/C(=O)O,Thermo_Experimental,C6H8O2,112.128,2,1,1,37.3,1.2,134.0,227.78,181.93,C/C=C/C=C/C(=O)O
dimethyltin dichloride,C[Sn](C)(Cl)Cl,Thermo_Experimental,C2H6Cl2Sn,219.687,0,0,0,0.0,2.17,106.5,189.0,148.29,[CH3][Sn]([CH3])([Cl])[Cl]
2-ethylhexanoyl chloride,CCCCC(CC)C(=O)Cl,Thermo_Experimental,C8H15ClO,162.66,5,0,1,17.07,2.97,67.5,200.35,278.0,CCCCC(CC)C(=O)Cl
ethyl 3-ethoxypropionate,CCOCCC(=O)OCC,Thermo_Experimental,C7H14O3,146.186,6,0,3,35.53,0.98,-100.0,168.0,261.15,CCOCCC(=O)OCC
pivalic acid,CC(C)(C)C(=O)O,Thermo_Experimental,C5H10O2,102.133,1,1,1,37.3,1.12,35.5,164.2,194.55,CC(C)(C)C(=O)O
2-methyl-2-nitropropan-1-ol,CC(C)(CO)[N+](=O)[O-],Thermo_Experimental,C4H9NO3,119.12,1,1,3,63.37,0.03,89.5,94.0,193.29,CC(C)(CO)[N+](=O)[O-]
1-dodecanethiol,CCCCCCCCCCCCS,Thermo_Experimental,C12H26S,202.407,10,1,1,0.0,4.84,-7.5,277.0,399.03,CCCCCCCCCCCCS
cremophor a,CCCCCCCCCCCCCCCCCC(=O)OCCO,Thermo_Experimental,C20H40O3,328.537,19,1,3,46.53,5.78,32.0,534.45,645.92,CCCCCCCCCCCCCCCCCC(=O)OCCO
octane,CCCCCCCC,Thermo_Experimental,C8H18,114.232,5,0,0,0.0,3.37,-56.85,125.64,254.46,CCCCCCCC
methyl laurate,CCCCCCCCCCCC(=O)OC,Thermo_Experimental,C13H26O2,214.349,11,0,2,26.3,4.08,5.1,268.0,437.48,CCCCCCCCCCCC(=O)OC
1-iodohexadecane,CCCCCCCCCCCCCCCCI,Thermo_Experimental,C16H33I,352.344,14,0,0,0.0,6.9,22.0,357.0,569.43,CCCCCCCCCCCCCCCCI
5-nitroindazole,O=[N+]([O-])c1ccc2[nH]ncc2c1,Thermo_Experimental,C7H5N3O2,163.136,0,1,3,71.82,1.47,208.0,387.91,208.21,O=[N+]([O-])c1ccc2[nH]ncc2c1
"3,3-dimethylpentane",CCC(C)(C)CC,Thermo_Experimental,C7H16,100.205,2,0,0,0.0,2.83,-134.9,86.0,216.02,CCC(C)(C)CC
