############################################################################,,,,,,,,,,
The table contains calculated ideal-gas properties,,,,,,,,,,
,,,,,,,,,,
Abbreviation,Meaning,Units,,,,,,,,
Formula,Molecular formula,,,,,,,,,
Name,Compound name,,,,,,,,,
Nconf,Number of conformers,,,,,,,,,
H,Enthalpy H(298.15 K) - H(0 K),kJ/mol,,,,,,,,
S,"Absolute entropy S0(298.15 K, 100 kPa)",J/K/mol,,,,,,,,
Cp298,Heat capacity Cp at T=298.15 K,J/K/mol,,,,,,,,
Cp400,Heat capacity Cp at T=400 K,J/K/mol,,,,,,,,
Cp500,Heat capacity Cp at T=500 K,J/K/mol,,,,,,,,
dHf,Enthalpy of formation at T=298.15 K,kJ/mol,,,,,,,,
+/-dHf,Expanded (k=2) uncertainty of formation enthalpy,kJ/mol,,,,,,,,
Dipole,Dipole moment (debye),Debye,,,,,,,,
Comment,Comment,,,,,,,,,
"R,S,RR,RS",Stereo states,,,,,,,,,
||,Identical stereo states,,,,,,,,,
,,,,,,,,,,
The computation methods are described in the publications:,,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2018. Efficient estimation of formation enthalpies for closed-shell organic compounds with local coupled-cluster methods. Journal of Chemical Theory and Computation, 14(11), pp.5920-5932.",,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2019. Critical evaluation of the enthalpies of formation for fluorinated compounds using experimental data and high-level ab initio calculations. Journal of Chemical & Engineering Data, 64(11), pp.4863-4874.",,,,,,,,,,
,,,,,,,,,,
############################################################################,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K",,,,,,,,,,
# ,,,,,,,,,,
C2H5NO2,2-aminoacetic acid,6,19.225,324.681,87.045,107.057,124.031,-395.41,2.74,
C3H8O3,glycerol,47,25.407,374.100,116.224,145.710,170.953,-583.04,2.91,
CH4N2O,urea,1,14.275,279.793,73.868,89.287,101.411,-235.56,2.97,
C3H8O2,"1,2-propanediol",18,21.447,340.453,103.031,129.104,152.166,-428.94,2.72,R || S
C3H4O2,2-oxetanone,1,13.824,285.289,69.885,90.427,107.919,-282.85,2.66,
C5H12O,3-pentanol,17,26.400,385.459,130.630,167.185,200.560,-313.55,2.67,
C4H8,(Z)-2-butene,1,17.066,296.934,85.435,108.570,129.893,-6.70,2.60,
C4H6,"1,2-butadiene",1,15.823,290.591,79.115,98.454,115.376,161.19,2.68,
C5H10O,3-methylbutanal,5,24.247,369.393,119.236,151.401,180.817,-234.89,2.59,
C5H8,"1,4-pentadiene",3,19.007,330.422,95.877,123.548,147.794,104.50,2.81,
C5H8,"1,2-pentadiene",2,19.668,331.353,99.336,125.765,149.034,139.88,2.68,
C6H10,"1,5-hexadiene",10,22.980,370.211,116.465,151.006,181.522,82.68,2.81,
C6H8,"1,3-cyclohexadiene",1,16.239,303.475,93.685,127.492,156.579,105.26,2.82,
C4H8,methylcyclopropane,1,14.793,283.522,78.409,104.777,128.170,26.14,2.56,
C5H8,3-methyl-1-butyne,1,19.093,318.548,102.963,128.751,151.120,140.60,2.59,
C5H8,"3-methyl-1,2-butadiene",1,19.448,316.845,102.409,127.819,150.312,128.19,2.68,
C4H10O,isopropyl methyl ether,2,20.855,340.320,108.252,137.189,164.281,-252.48,2.64,
C5H12O,3-methyl-2-butanol,9,25.091,375.546,133.098,169.503,202.461,-318.95,2.67,R || S
C4H10O,diethyl ether,3,22.742,340.505,105.310,134.628,162.284,-251.45,2.64,
C5H12O,pentan-2-ol,28,26.250,384.988,130.404,167.074,200.521,-313.85,2.67,R || S
C2H5NO,ethanamide,1,16.412,306.528,77.843,94.122,108.259,-235.17,2.64,
C4H10,butane,2,18.929,309.141,91.679,118.972,144.769,-125.39,2.62,
C4H8,1-butene,2,16.462,305.749,83.470,107.531,129.416,-0.66,2.60,
C4H6,"1,3-butadiene",2,15.032,278.010,75.056,95.805,113.782,109.57,2.82,
C6H12,(E)-3-methyl-2-pentene,2,24.402,375.630,129.856,165.885,198.985,-59.84,2.64,
